species,weight,bill_width,bill_depth,bill_length,tarsus,wing_chord
Sayornis saya,18.8,7.233333333,4.4,15.83333333,20.73333333,100.3666667
Sayornis saya,17.2,8.166666667,4.733333333,16.6,19.73333333,98.83333333
Sayornis saya,19.8,8.166666667,4.5,17.46666667,21.16666667,95.9
Sayornis saya,22.5,8.633333333,4.6,17.53333333,20.56666667,102.1666667
Sayornis saya,17.4,8.133333333,4.4,18.66666667,18.7,102.4
Sayornis saya,19.5,8.433333333,4.566666667,18.26666667,19.5,107.5
Sayornis saya,16.2,8,4.533333333,17.46666667,20.36666667,104.8666667
Sayornis saya,19.6,8.3,4.533333333,17.43333333,19.8,106.9666667
Sayornis saya,18.8,7.833333333,4.733333333,17.43333333,20.3,106.5666667
Sayornis saya,18.5,8.466666667,4.6,18.36666667,18.16666667,104.9666667
Sayornis nigrigcans,20.4,7.5,5,16.43333333,17.1,88.63333333
Sayornis nigrigcans,19.6,8.366666667,4.133333333,16.33333333,16.63333333,91.2
Sayornis nigrigcans,16.4,7.166666667,4.4,15.66666667,17.5,88.2
Sayornis nigrigcans,14.2,7.7,4.3,16.53333333,17.3,87.53333333
Sayornis nigrigcans,16.9,8.2,4.3,18.5,17.7,89.3
Sayornis nigrigcans,11.7,7.333333333,4.533333333,16.43333333,16.16666667,84.8
Sayornis nigrigcans,15.6,8.166666667,4.333333333,16.23333333,17.16666667,88.6
Sayornis nigrigcans,16.5,8.033333333,4.233333333,17.76666667,16.73333333,83.93333333
Sayornis nigrigcans,11,7.966666667,4.133333333,17.73333333,17.7,84.63333333
Sayornis nigrigcans,19.1,8.133333333,4.366666667,17.36666667,17.83333333,88.56666667
